model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_n_estimators
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,11,500
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,12,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,12,100
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,12,150
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,12,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,12,250
Random Forest,1.0,0.964835164835165,1.0,0.9411764705882353,12,300
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,12,350
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,12,400
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,12,450
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,12,500
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,13,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,13,100
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,13,150
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,13,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,13,250
Random Forest,1.0,0.964835164835165,1.0,0.9411764705882353,13,300
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,13,350
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,13,400
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,13,450
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,13,500
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,14,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,14,100
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,14,150
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,14,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,14,250
